facility_id,facility_type,amenity,facility_name,node_id,snap_distance_m,subdistrict_id,subdistrict_name,source_name,source_timestamp,confidence_class,assumptions
OSM-5041556227,shelter_candidate,shelter,,N-99.8903567-20.4265637,40.6,TH570901,Mae Sai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-5260253643,healthcare,pharmacy,ร้านขายยา พญานาคเภสัช,N-99.8830911-20.3238650,29.5,TH570909,Pong Ngam,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-6304951685,community_facility,community_centre,หมู่บ้านเก้าหลัง,N-99.8629458-20.2896869,4.5,TH570902,Huai Khrai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-6376938985,emergency_service,fire_station,สถานีควบคุมไฟป่าดอยตุง,N-99.8220772-20.3270343,786.7,TH570902,Huai Khrai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-6382206185,shelter_candidate,shelter,,N-99.8582099-20.2830550,15.5,TH570902,Huai Khrai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-6386943287,shelter_candidate,shelter,,N-99.8583463-20.2850498,216.5,TH570902,Huai Khrai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-6386943486,shelter_candidate,shelter,,N-99.8582099-20.2830550,69.2,TH570902,Huai Khrai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-6387061889,shelter_candidate,shelter,,N-99.8588990-20.2807254,13.9,TH570902,Huai Khrai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-6387061890,shelter_candidate,shelter,,N-99.8557769-20.2760356,32.1,TH570902,Huai Khrai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-6387066085,shelter_candidate,shelter,,N-99.8584376-20.2801870,32.6,TH570902,Huai Khrai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-6388482785,shelter_candidate,shelter,กระท่อมกลางนา,N-99.8897983-20.3426024,311.5,TH570904,Pong Pha,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-6388482985,shelter_candidate,shelter,กระท่อมในสวนปาล์ม,N-99.8765310-20.3756705,11.2,TH570904,Pong Pha,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-6395095385,shelter_candidate,shelter,กนะท่อมปลายนา,N-99.9174139-20.3460706,82.8,TH570909,Pong Ngam,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-6395095685,shelter_candidate,shelter,,N-99.9542319-20.3107459,13.5,TH570908,Ban Dai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-6395095785,shelter_candidate,shelter,,N-99.9562055-20.3094610,8.7,TH570908,Ban Dai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-7194811385,shelter_candidate,shelter,,N-99.8864487-20.3522619,10.2,TH570904,Pong Pha,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-7358917585,emergency_service,police,หน่วยตำรวจบริการประชาชนห้วยไคร้,N-99.8610369-20.2706426,11.6,TH570902,Huai Khrai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-7358917586,school,kindergarten,โรงเรียนอนุบาลมานิตวิทยา,N-99.8595524-20.2734197,24.3,TH570902,Huai Khrai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-7358917985,school,school,โรงเรียนมานิตวิทยา,N-99.8601208-20.2712593,50.1,TH570902,Huai Khrai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
