source_name,file_name,local_path_hint,asset_scope,container_name,entry_kind,library_group,candidate_use,file_size_bytes,file_size_gb,zip_member_count,zip_total_uncompressed_bytes,acquisition_date,acquisition_time_utc,processing_level,sensor_product,tile_id,sequence_id,raster_width,raster_height,raster_count,raster_dtypes,band_descriptions,crs,bbox_lon_min,bbox_lat_min,bbox_lon_max,bbox_lat_max,mvp_overlap,license_status,sha256_status,processing_allowed,reason_blocked,library_notes
THEOS-2 hackathon sample imagery,IMG_T2V_20240821033931_ORTHO_PMS_32-020.tif,<input_dir>/IMG_T2V_20240821033931_ORTHO_PMS_32-020.tif,local_file,,image_tiff,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",4959669383,4.96,,,20240821,033931,ORTHO,PMS,32,020,24892,24740,4,uint16|uint16|uint16|uint16,|||,EPSG:32647,99.556063,7.156273,99.668942,7.268315,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,IMG_T2V_20240821033931_ORTHO_PMS_32-016.tif,<input_dir>/IMG_T2V_20240821033931_ORTHO_PMS_32-016.tif,local_file,,image_tiff,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",4959669376,4.96,,,20240821,033931,ORTHO,PMS,32,016,24892,24740,4,uint16|uint16|uint16|uint16,|||,EPSG:32647,99.556063,7.156273,99.668942,7.268315,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,IMG_T2V_20241219034659_ORTHO_PMS_32-024.tif,<input_dir>/IMG_T2V_20241219034659_ORTHO_PMS_32-024.tif,local_file,,image_tiff,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",4728139712,4.728,,,20241219,034659,ORTHO,PMS,32,024,23468,25045,4,uint16|uint16|uint16|uint16,|||,EPSG:32647,100.492566,13.779094,100.601856,13.892967,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,IMG_T2V_20240131033325_ORTHO_PMS_32_2-008.tif,<input_dir>/IMG_T2V_20240131033325_ORTHO_PMS_32_2-008.tif,local_file,,image_tiff,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",3739091137,3.739,,,20240131,033325,ORTHO,PMS,32_2,008,15830,29368,4,uint16|uint16|uint16|uint16,|||,EPSG:32647,101.855428,12.787015,101.9298,12.920433,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,IMG_T2V_20241012033956_ORTHO_PMS_32_2-025.tif,<input_dir>/IMG_T2V_20241012033956_ORTHO_PMS_32_2-025.tif,local_file,,image_tiff,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",3584650621,3.585,,,20241012,033956,ORTHO,PMS,32_2,025,23700,18695,4,uint16|uint16|uint16|uint16,|||,EPSG:32647,100.513173,13.907891,100.623411,13.993086,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,IMG_T2V_20250603033815_PRIMARY_PMS_32-028.TIF,<input_dir>/IMG_T2V_20250603033815_PRIMARY_PMS_32-028.TIF,local_file,,image_tiff,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",3345775741,3.346,,,20250603,033815,PRIMARY,PMS,32,028,20481,20417,4,uint16|uint16|uint16|uint16,|||,,0.0,20417.0,20481.0,0.0,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,IMG_T2V_20240131033325_ORTHO_PMS_32-011.tif,<input_dir>/IMG_T2V_20240131033325_ORTHO_PMS_32-011.tif,local_file,,image_tiff,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",3015397063,3.015,,,20240131,033325,ORTHO,PMS,32,011,12745,29368,4,uint16|uint16|uint16|uint16,|||,EPSG:32647,101.855428,12.787172,101.915599,12.920433,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,IMG_T2V_20250730033331_ORTHO_PMS_32.tif-006.ovr,<input_dir>/IMG_T2V_20250730033331_ORTHO_PMS_32.tif-006.ovr,local_file,,overview,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",2718836258,2.719,,,20250730,033331,ORTHO,PMS,32,,15854,15906,4,uint16|uint16|uint16|uint16,|||,,0.0,15906.0,15854.0,0.0,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,IMG_T2V_20250731035100_ORTHO_PMS_32.tif-007.ovr,<input_dir>/IMG_T2V_20250731035100_ORTHO_PMS_32.tif-007.ovr,local_file,,overview,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",2258399010,2.258,,,20250731,035100,ORTHO,PMS,32,,14254,14620,4,uint16|uint16|uint16|uint16,|||,,0.0,14620.0,14254.0,0.0,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,IMG_T2V_20250731035100_ORTHO_PMS_32.tif-005.ovr,<input_dir>/IMG_T2V_20250731035100_ORTHO_PMS_32.tif-005.ovr,local_file,,overview,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",2236373538,2.236,,,20250731,035100,ORTHO,PMS,32,,14290,14520,4,uint16|uint16|uint16|uint16,|||,,0.0,14520.0,14290.0,0.0,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-027.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-027.zip,local_file,,zip_package,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",1290191732,1.29,7,1581372636,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-026.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-026.zip,local_file,,zip_package,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",839821418,0.84,7,1614900301,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-014.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-014.zip,local_file,,zip_package,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",753927064,0.754,7,2804771697,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-002.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-002.zip,local_file,,zip_package,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",613788005,0.614,10,1667675709,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-009.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-009.zip,local_file,,zip_package,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",359893378,0.36,3,2109733574,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-022.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-022.zip,local_file,,zip_package,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",281368506,0.281,7,2125693055,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-019.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-019.zip,local_file,,zip_package,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",281698862,0.282,7,1897831926,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-010.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-010.zip,local_file,,zip_package,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",265282348,0.265,9,1930397299,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-018.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-018.zip,local_file,,zip_package,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",248241427,0.248,7,2092332244,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-012.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-012.zip,local_file,,zip_package,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",220073607,0.22,7,1919709634,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-023.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-023.zip,local_file,,zip_package,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",110517530,0.111,6,1625728724,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-017.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-017.zip,local_file,,zip_package,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",53857247,0.054,6,1674544929,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
