source_name,source_group,study_area,source_url,data_or_product_type,candidate_role,access_route,license_status,geometry_status,redistribution_status,can_use_for_validation,can_use_for_ml_labels,download_action,repo_storage,processing_scope,confidence_class,blocker,next_action,retrieved_at_utc
Copernicus DEM GLO-30,copernicus_dem,Thailand,https://dataspace.copernicus.eu/explore-data/data-collections/copernicus-contributing-missions/collections-description/COP-DEM,global DEM,"terrain, slope, false-positive review, susceptibility context",public Copernicus DEM download route,free_license_with_citation_source_obligations,terrain_raster_available_after_download,source_products_stay_outside_git,no_context_not_flood_observation,no_not_flood_labels,metadata row now; use local DEM readiness lane for provided files,metadata_csv_only_no_dem_raster_assets,terrain_context_after_file_manifest_gates,high,DEM is not flood observation or reference mask,continue using DEM only for terrain context and false-positive review,2026-07-08T05:47:15Z
HDX Thailand COD-AB,hdx_cod_ab,Thailand,https://data.humdata.org/dataset/cod-ab-tha,administrative boundaries,province/district/subdistrict aggregation geometry,public HDX dataset page and normal web/session download,dataset_specific_hdx_terms,admin_boundaries_available_after_download,source_products_stay_outside_git,no_admin_context_not_flood_mask,no_not_flood_labels,metadata row now; download selected boundary version outside Git,metadata_csv_only_no_boundary_source_zip,admin_join_context_after_file_manifest_gates,high,boundary vintage and official status must be recorded when selected,select admin level and version for real decision-layer aggregation,2026-07-08T05:47:15Z
THEOS-2 local hackathon samples,theos2_optical,Local hackathon data,local files; see docs/theos2_inventory.md,local optical imagery,"optical context, exposure explanation, future optical features",local user-provided files; selected checksum manifests already exist,user_reported_hackathon_free_use,local_imagery_available_for_selected_context_outputs,source_files_stay_outside_git,no_not_flood_reference_mask,no_not_flood_labels,use selected checksum-backed thumbnails/context only,small_preview_outputs_and_metadata_only,theos2_optical_context_preview_only,medium,not a flood validation source,use in dashboard and action briefs as optical context only,2026-07-08T05:47:15Z
Local hackathon Sentinel-1 TIFF,local_sentinel1_sar,Chiang Rai / Mae Sai 2024 candidate overlap,local files; see docs/sentinel1_local_provenance.md,local SAR raster,SAR context only until provenance and timing are resolved,local user-provided file with selected checksum manifest,user_reported_hackathon_free_use,local_raster_available_but_timing_unresolved,source_file_stays_outside_git,no_until_provenance_timing_reference_mask_gates_pass,no_until_provenance_timing_reference_mask_gates_pass,quicklook context only; no real baseline use,small_quicklook_outputs_and_metadata_only,sentinel1_sar_context_quicklook_only,low,filename has placeholder timing and provenance remains unresolved,do not use for real baseline until provenance resolver clears the row,2026-07-08T05:47:15Z
Local hackathon Copernicus DEM packages,local_copernicus_dem,Local hackathon data,local files; see outputs/dem_selected_file_manifest.csv,local DEM/elevation-slope packages,terrain context only,local user-provided ZIP packages with package checksums,user_reported_hackathon_free_use,local_dem_package_available_member_extraction_gated,source_packages_stay_outside_git,no_context_not_flood_observation,no_not_flood_labels,use only terrain quicklook/context after member checksum gates,small_quicklook_outputs_and_metadata_only,dem_terrain_context_quicklook_only,medium,"DEM is not a flood observation, label, or reference mask",keep DEM in terrain false-positive review lane only,2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - AIT-VAP001-TH.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/AIT/AIT-VAP001-TH.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - AIT-VAP001-TH_sml.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/AIT/AIT-VAP001-TH_sml.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - AIT-VAP001-TH.zip,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/AIT/AIT-VAP001-TH.zip,gis_zip,possible public GIS geometry candidate,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,possible_geometry_needs_download_outside_git_and_inspection,unresolved_product_level,possible_after_geometry_and_license_review,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,medium,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - AIT-VAP002-TH.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/AIT/AIT-VAP002-TH.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - AIT-VAP002-TH_sml.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/AIT/AIT-VAP002-TH_sml.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - AIT-VAP002-TH.zip,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/AIT/AIT-VAP002-TH.zip,gis_zip,possible public GIS geometry candidate,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,possible_geometry_needs_download_outside_git_and_inspection,unresolved_product_level,possible_after_geometry_and_license_review,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,medium,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - AIT-VAP003-TH.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/AIT/AIT-VAP003-TH.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - AIT-VAP003-TH_sml.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/AIT/AIT-VAP003-TH_sml.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - AIT-VAP003-TH.zip,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/AIT/AIT-VAP003-TH.zip,gis_zip,possible public GIS geometry candidate,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,possible_geometry_needs_download_outside_git_and_inspection,unresolved_product_level,possible_after_geometry_and_license_review,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,medium,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - MBRSC_THAILAND_FLOOD-MAP.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/MBRSC/MBRSC_THAILAND_FLOOD-MAP.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - MBRSC_THAILAND_FLOOD-MAP_sml.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/MBRSC/MBRSC_THAILAND_FLOOD-MAP_sml.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - MBRSC_THAILAND_FLOOD-MAP-SHP.zip,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/MBRSC/MBRSC_THAILAND_FLOOD-MAP-SHP.zip,shapefile_zip,possible public flood geometry candidate,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,possible_geometry_needs_download_outside_git_and_inspection,unresolved_product_level,possible_after_geometry_and_license_review,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,medium,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - IMG-HH-ALOS2287820350-190921-WBSR2.1GUA_sml.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/ALOS2287820350-190921-WBSR2.1GUA/IMG-HH-ALOS2287820350-190921-WBSR2.1GUA_sml.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - IMG-HH-ALOS2287820400-190921-WBSR2.1GUA_sml.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/ALOS2287820400-190921-WBSR2.1GUA/IMG-HH-ALOS2287820400-190921-WBSR2.1GUA_sml.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - IMG-HH-ALOS2549230350-240724-WBDR2.1GUA_sml.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/ALOS2549230350-240724-WBDR2.1GUA/IMG-HH-ALOS2549230350-240724-WBDR2.1GUA_sml.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - IMG-HH-ALOS2556920350-240914-WBDR2.1GUA_sml.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/ALOS2556920350-240914-WBDR2.1GUA/IMG-HH-ALOS2556920350-240914-WBDR2.1GUA_sml.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - IMG-HH-ALOS2556920400-240914-WBDR2.1GUA_sml.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/ALOS2556920400-240914-WBDR2.1GUA/IMG-HH-ALOS2556920400-240914-WBDR2.1GUA_sml.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - IMG-HH-ALOS2557510350-240918-WBDR2.1GUA_sml.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/ALOS2557510350-240918-WBDR2.1GUA/IMG-HH-ALOS2557510350-240918-WBDR2.1GUA_sml.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - FS5_G000_PMS_L4UTM_20240918_043243_qls.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/FS5_G000_PMS_L4UTM_20240918_043243/FS5_G000_PMS_L4UTM_20240918_043243_qls.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - FS5_G001_PMS_L4UTM_20240918_043246_qls.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/FS5_G001_PMS_L4UTM_20240918_043246/FS5_G001_PMS_L4UTM_20240918_043246_qls.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - FS5_G000_PMS_L4UTM_20240926_043340_qls.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/FS5_G000_PMS_L4UTM_20240926_043340/FS5_G000_PMS_L4UTM_20240926_043340_qls.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - FS5_G003_PMS_L4UTM_20240928_043403_qls.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/FS5_G003_PMS_L4UTM_20240928_043403/FS5_G003_PMS_L4UTM_20240928_043403_qls.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - FS5_G004_PMS_L4UTM_20240928_043407_qls.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/FS5_G004_PMS_L4UTM_20240928_043407/FS5_G004_PMS_L4UTM_20240928_043407_qls.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 product - th_r2_aw_19sep24_jpg.jpg,sentinel_asia_product,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH/R2W19SEP2024/th_r2_aw_19sep24_jpg.jpg,map_or_quicklook_jpg,public map or imagery quicklook evidence,public direct link from Sentinel Asia event page,public_page_terms_need_product_level_review,map_report_or_quicklook_no_machine_geometry,unresolved_product_level,no_map_level_context_only,not_cleared_for_ml_labels,do not download into Git; inspect externally only if product terms allow,metadata_csv_only_no_product_zip_or_image_assets,event_product_link_inventory_only,low,"product-level license, geometry, and redistribution terms need review","if selected, download outside Git, record checksum, inspect geometry/license, then update gates",2026-07-08T05:47:15Z
