id,requirement,proposal_pages,scope,status,completion_criterion,milestones,evidence,acceptance_checks,execution_status,implementation_path,output_receipt,test,review_decision,owner,last_verified_sha,remaining_blocker
R30,Reproducibility and offline portability,"13-14,30-31",Finals core,Implemented / release alignment incomplete,"Rebuild exact-release offline bundle, verify another laptop and document minimal inputs/commands.","M0,M9",S8,AC01;AC39;AC40;AC41;AC46,PARTIAL,scripts/build_offline_demo_bundle.py; docs/proposal_execution/REPRODUCE.md; docs/proposal_execution/replication_resources.md,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/FloodGuard_Candidate_Finals_Offline.zip; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/download-alignment.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,Exact-code CI/frontend/Preview PASS; 287-file ZIP SHA 0e33015cc0c185ccb0e9559e550f012be8d05ef7e9352e1da1229fed6796bc32 and manifest SHA f7cf6ab6ee187ea3a16dd2c8d824490e1dd29f75bce4adc2f1884c57984e34ce; same-machine server hash replay/offline pages PASS; 19/19 Preview ZIP catalog/brief bytes match.,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,A real second-machine reproduction/rehearsal has not occurred; same-machine replay does not satisfy that criterion.
R31,Hat Yai urban transfer test,"21,25-26",Stretch,Substantial candidate demonstration,Qualify urban imagery and references; review entrances/components; test transfer without tuning on evaluation labels.,M10,S3,AC44,PARTIAL,scripts/hat_yai_transfer_sensitivity.py; docs/proposal_execution/hat_yai_transfer.md,Project Support/FloodGuard/research-runs/2026-09-23-hat-yai-transfer-closure-v1/run_receipt.json; Project Support/FloodGuard/execution/2026-09-23/worldpop-age-hat-yai-2025-1km-v2/age_review.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-03_hat_yai_core/build_receipt.json,"Transfer closure stress, 2025 1 km 20-band age review, corrected Hat Yai finals 6/6 listed files rehashed and eight-case stage build; no independent transfer accuracy",Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Separate source-bound transfer package remains candidate; independent Hat Yai event validation and entrance/topology QA absent.
R32,Lower Chao Phraya / Bangkok replication,"21,25-26,33",Roadmap,Partial access diagnosis,"Extend routing context, qualify each event, benchmark memory/runtime and hold reporting units fixed.","M10,M12",S3,AC19;AC45;AC46,PARTIAL,scripts/compare_lower_basin_context.py; docs/proposal_execution/lower_basin_release_path.md,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-05_chao_phraya_bang_ban_sena/build_receipt.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-06_chao_phraya_rangsit/build_receipt.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/rebuilt-export-verification-v4.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/repository-public-copy-receipt.json,"Corrected AOI-05/06 10 km finals rehashed 8/8 each and fixed 20,677/17,083 cells; eight-case independent export verifier PASS; 24/24 repository copy PASS; resources sampled",Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Candidate routing context is in the verified repository catalog; consequential review and distinct 2024/2025 observed event layers remain absent.
R33,Hydromet support and riverine forecasting,"5,12,21",Roadmap,Gauge context / no qualified forecast,Resolve timing/metadata/gaps; backtest temporal holdouts and compare official baselines before forecast claims.,M14,S3,AC48,NOT RUN,docs/proposal_execution/UNRESOLVED.md,,,,Implementation lead; independent authority where required,,No selected forecast source/purpose/benchmark and no operational owner.
R34,THEOS-2 / optical / infrastructure review,"12,14-16",Conditional / roadmap,Intake exists; delivered evidence not established,Verify rights/footprint/cloud/AOI support; keep imagery interpretation distinct from activation/capacity verification.,"M1,M14",S2,AC48,PARTIAL,docs/proposal_execution/SOURCES_AND_RIGHTS.md,,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,THEOS-2 candidate catalogue/rights does not authorize public derivatives or validated labels.
R35,Building/land-cover population disaggregation,12,Roadmap,Not demonstrated as qualified product,Conserve compatible control totals and report uncertainty; do not claim finer measured demographics than sources support.,M14,W2,AC48,NOT RUN,docs/proposal_execution/UNRESOLVED.md,,,,Implementation lead; independent authority where required,,No selected lawful source and independent disaggregation benchmark.
R36,Citizen-report triage,"12,21",Roadmap,Not demonstrated,"Establish consent/privacy, moderation, geolocation/dedup and held-out Thai-language evaluation before decision use.",M14,Proposal,AC48,NOT RUN,docs/proposal_execution/UNRESOLVED.md,,,,Implementation lead; independent authority where required,,"No selected lawful citizen-data purpose, privacy design or partner authority."
R37,Intervention optimisation,21,Roadmap,"Shortlist scenarios, not optimisation","Declare feasible sites, objective and constraints; compare fixed shortlist first, then validated optimization if justified.","M7,M14",S2-S3,AC31;AC48,NOT RUN,docs/proposal_execution/scoring_sensitivity.md,,,,Implementation lead; independent authority where required,,Intervention shortlist and independent counterfactual evidence remain conditional.
R38,CBS/agency workflow and operational ownership,"2-3,33-34",Policy ambition / roadmap,Not established,"Agree user authority, review/approval, update cadence and incident procedures; never infer official warning authority.",M13,Proposal,AC47,NOT RUN,docs/proposal_execution/UNRESOLVED.md,,,,Implementation lead; independent authority where required,,"No partner pilot owner, signed workflow, data or operational authority."
R39,"Rights, privacy and accessible safe publication","7,20,34",Core / operational,Strong controls / full assurance pending,"Review per-product redistribution, contacts/private fields, accessibility, data minimisation and role boundaries; record sign-off.","M1,M8,M13","S2,S8",AC03;AC04;AC34;AC39;AC42;AC47;AC50,PARTIAL,docs/proposal_execution/SOURCES_AND_RIGHTS.md; apps/web/scripts/profile-artifact-smoke.mjs,docs/proposal_execution/SOURCES_AND_RIGHTS.md; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/live-preview-qa.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,Exact-code public-production profile excluded proposal assets; competition candidate export/projection boundary and anonymous Preview passed; six phone/desktop screenshots had zero horizontal overflow; 19/19 downloads/catalogs matched ZIP.,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,"Product-specific age derivative rights, wider zoom/focus accessibility review and independent rights sign-off remain pending."
R40,Practitioner usefulness and finals consistency,"22,31-34",Finals core,Not demonstrated by software checks,"Human comprehension review, current instructions, synchronized slides/report/preview/offline package and rehearsed limitations.","M8,M9",S8,AC02;AC38;AC41;AC42;AC43;AC49,PARTIAL,docs/proposal_execution/CLAIMS.md; docs/proposal_execution/pitch_outline.md,docs/proposal_execution/CLAIMS.md; apps/web/public/briefs/catalog.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/download-alignment.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,Exact-code Public/Planning/Studio Preview and same-source offline ZIP matched three catalogs plus 16 bilingual briefs; ten-minute pitch/no file submission supplied by user; candidate limits and unavailable FPPS retained.,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Real nontechnical comprehension and timed rehearsal remain NOT RUN; practitioner usefulness is not established by technical checks.
