id,milestones,proposal_requirements,judging_weight_percent,topic,pass_criterion,required_evidence,status,receipt,last_verified_sha,implementation_path,test,review_decision,owner,remaining_blocker
AC26,M6,R19,35,Capacity conservation,Maximum flow has no shared-demand double count; known zero vs unknown capacity distinguished; all unmet/excluded categories reconcile.,Allocation tests and scenario report,PARTIAL,,,src/floodguard/evidence_scenarios.py; docs/proposal_execution/2sfca_method.md,maximum-flow conservation fixtures; no verified capacity,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Real known/unknown capacity audit and event shelter allocation not supplied.
AC27,M6,R18,"35,40",Conditional 2SFCA,Separate catchment supply-demand measure with stated units/threshold/status; not renamed allocation; eligibility passes or deferred.,2SFCA tests/comparison or documented conditional blocker,PARTIAL,,,src/floodguard/two_step_access.py; docs/proposal_execution/2sfca_method.md,tests/test_two_step_access.py: 13 passed,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Only hypothetical one-service 2SFCA; real dated eligible supply absent.
AC28,M7,R20,"40,35",FPPS semantics,Every component normalized with declared frame/denominator/rights; no binary extent renamed likelihood or hidden missing-input reweighting.,Component specification and assessment tests,BLOCKED,,,src/floodguard/scoring.py; docs/proposal_execution/scoring_sensitivity.md,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,"Calibrated likelihood/vulnerability, normalization frame, rights and downstream acceptance absent."
AC29,M7,"R21,R22",35,Class and weight policy,Default weights/order/thresholds unchanged; low-confidence E; requested/normalized scenario weights and rank changes explicit.,Boundary/regression and weight tests,PASS,,,src/floodguard/scoring.py; scripts/scoring_sensitivity.py,tests/test_scoring_sensitivity.py: 14 passed; exact class/low-confidence E,,Implementation lead; independent authority where required,
AC30,M7,"R23,R24","40,35",Joint sensitivity,Bounded prespecified axes yield rank/class/equity/access ranges and dominant assumption; extrema not called confidence intervals.,Sensitivity receipt and stability report,PARTIAL,Project Support/FloodGuard/execution/2026-09-23/mae-sai-scoring-sensitivity-v1,,scripts/scoring_sensitivity.py; docs/proposal_execution/scoring_sensitivity.md; docs/proposal_execution/mae_sai_age_access_sensitivity.md,two-mode Mae Sai fixed finite stress; scenario ranges only; separate source-bound age missing-access intervals include zero,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,"Stress is bounded scenario ensemble, not joint calibrated uncertainty; age/equity uncertainty not yet integrated."
AC31,M7,"R12,R37",40,Intervention usefulness,"Fixed plausible shortlist and selection rule; report baseline inaccessible, new threshold losses, route loss and finite-route delay denominators.",Intervention result and selection rationale,PARTIAL,,,docs/proposal_execution/scoring_sensitivity.md; docs/proposal_execution/hat_yai_transfer.md,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Plausible fixed intervention shortlist and reviewer-approved selection rule/denominators pending.
AC32,M8,"R25,R26,R27",All,Main-surface integration,"Main Public/Planning/Studio receive consistent role projections, not links only; existing research subroutes preserved.",Architecture mapping and cross-surface tests,PASS,apps/web/public/public-case-projections/catalog.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/live-preview-qa.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,577500c1bb31d67424984153028c6fbecb99f068,apps/web/src/app/public/page.tsx; apps/web/src/app/command/page.tsx; apps/web/src/app/studio/page.tsx,Exact-code pnpm verify:frontend PASS (343 web/9 contracts/17 assets); bounded browser 64 briefs/32 shared/33 deep routes/16 workspaces; live Hat Yai Planning-to-Studio identity retained; 10/10 anonymous routes HTTP 200.,Technical cross-role integration PASS; independent scientific/downstream acceptance remains separate.,Implementation lead; independent authority where required,
AC33,M8,"R20,R22,R29",35,Versioned evidence contracts,Candidate v1 invariants remain; accepted pathway requires full downstream chain and cannot borrow context/permission.,Discriminated schema/adapter and negative tests,PARTIAL,,,scripts/build_public_case_projections.py; apps/web/public/public-case-projections/catalog.json,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Candidate contracts preserved; explicit accepted path cannot be exercised without downstream receipt.
AC34,M8,"R25,R39","25,35",Public safe projection,Actual public output excludes private/restricted fields and unverified shelters; a compact main Public entry leads to competition-only /public-cases/ candidate detail; public-production research module/data exclusions remain.,Build/export/asset inspection receipt,PARTIAL,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/live-preview-qa.json,,scripts/build_public_case_projections.py; apps/web/scripts/profile-artifact-smoke.mjs,Exact-code public-production/competition profile and export checks PASS; public-production has zero proposal evidence assets; competition Public has compact study-case entry and /public-cases/ detail; live 10/10 routes HTTP 200.,,Implementation lead; independent authority where required,Product-specific derivative-rights and independent publication sign-off remain pending; technical profile PASS does not grant these.
AC35,M8,"R25,R26,R27",25,Context continuity,Case/event/service/mode/scenario/origin where supported survive navigation/reload/back; invalid context has explicit unavailable state.,Deep-link and browser journey tests,PASS,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/live-preview-qa.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,577500c1bb31d67424984153028c6fbecb99f068,apps/web/src/app/public/page.tsx; apps/web/src/app/command/page.tsx; apps/web/src/app/studio/page.tsx,"Exact-code bounded browser exercised version/scenario/invalid links, reload/back and case-aware routes; live Hat Yai Planning-to-Studio link retained aoi/event/version; offline cached routes passed.",Technical context-continuity PASS; unavailable combinations remain explicit.,Implementation lead; independent authority where required,
AC36,M8,"R25,R28",25,Metadata-driven language,"Thai-first Public, user preference retained, dates/year/units/status sourced from metadata; no stale hard-coded vintages.",Thai/English content and state tests,PASS,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/live-preview-qa.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,577500c1bb31d67424984153028c6fbecb99f068,apps/web/src/app/public/page.tsx; apps/web/src/app/command/page.tsx; apps/web/scripts/build-case-briefs.mjs,"Exact-code frontend and bounded browser PASS across Thai/English, two widths and online/offline; source/status text and selected case metadata remained paired; 16 downloadable bilingual files bound to brief catalog.",Technical language and metadata PASS; human comprehension remains AC41.,Implementation lead; independent authority where required,
AC37,M8,"R25,R26",25,Accessible workspace,"Selectors usable without long desktop scrolling; mobile/zoom reflow, keyboard/dialog focus and text/table equivalents work.",Desktop/mobile/keyboard/accessibility receipt,PARTIAL,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/live-preview-qa.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/responsive-preview-qa.json,,apps/web/src/app/public/page.tsx; apps/web/src/app/command/page.tsx; apps/web/src/app/studio/page.tsx,"Exact-code frontend keyboard/mobile checks PASS; deployed responsive receipt SHA 9fc5a71cf4d1f6c2ef46305970588d37f331fdbb4f1c36f2f458a32cb4f04fb4 covers Public/Planning/Studio at 360/768/1024/1920 CSS px (12 checks), zero horizontal overflow or translation failures; compact route workspace tested at 16 viewport/language combinations.",Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Exact-release zoom/focus/text-equivalent audit and real user/device review remain to be recorded.
AC38,M8,"R28,R40",25,Five-point brief,"Same-package priority/status, drivers, denominator, intervention and uncertainty in Thai/English downloadable one-page format.",Rendered brief and data identity test,PARTIAL,apps/web/public/briefs/catalog.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/download-alignment.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,,apps/web/scripts/build-case-briefs.mjs; apps/web/public/briefs/catalog.json,Exact-code browser checked 64 brief selections/downloads; all 16 Thai/English HTML/PDF files and three catalogs matched Preview/offline bytes (19/19); brief catalog SHA f8df20dba1b40624829f55939389650694d1109f1ba62dccedb17359e5e262b5.,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,No accepted authoritative priority; real nontechnical comprehension review remains pending.
AC39,M9,"R30,R39","25,35",Exact-release QA,Current code/tree/package/export/frontend/API/runner/profile/CSP tests recorded at actual source.,Release receipt and CI artifacts,PASS,https://github.com/TUPRAM/flood-guard/actions/runs/35953156923; https://github.com/TUPRAM/flood-guard/actions/runs/35953161490; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,577500c1bb31d67424984153028c6fbecb99f068,docs/proposal_execution/STATUS.md,"At source SHA 577500c1 local pnpm verify:frontend PASS (lint/types/9 contracts/343 web/17 assets/two profiles/ten-route offline/CSP/64 briefs/32 shared/33 routes/16 workspaces); exact-SHA push/PR CI core+public verifier, API, runner, frontend and extras jobs PASS. Advisory audit reviewed separately.",Exact-code technical QA PASS; advisory audit is nonblocking and scientific acceptance remains separate.,Implementation lead; independent authority where required,
AC40,M9,R30,25,Atomic offline package,HTML/data/download hashes and permissions align; stale/mixed package rejected; local-server operation verified.,Offline ZIP manifest and stale-version tests,PASS,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/FloodGuard_Candidate_Finals_Offline.zip; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/download-alignment.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,577500c1bb31d67424984153028c6fbecb99f068,scripts/build_offline_demo_bundle.py; apps/web/scripts/write-offline-assets.mjs,Finals ZIP SHA 0e33015cc0c185ccb0e9559e550f012be8d05ef7e9352e1da1229fed6796bc32; 287-file manifest SHA f7cf6ab6ee187ea3a16dd2c8d824490e1dd29f75bce4adc2f1884c57984e34ce bound to code SHA; serve-demo.py verified every file; same-machine offline Studio brief/Public/Studio library HTTP 200; Preview/ZIP 19/19 catalogs/brief files byte-identical.,Technical offline package PASS on this machine; second-machine rehearsal is AC41.,Implementation lead; independent authority where required,
AC41,M9,"R30,R40",25,Human/device rehearsal,Actual nontechnical response and second-machine run documented; otherwise NOT RUN with actionable instructions.,Human and device receipts,NOT RUN,,,docs/proposal_execution/RESUME.md,,,Implementation lead; independent authority where required,Real nontechnical reviewer and second machine not yet available; do not simulate.
AC42,M9,"R39,R40",25,Preview accessibility,READY deployment matches SHA; anonymous persistent public link verified; production unchanged.,Deployment/share verification,PASS,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/live-preview-qa.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,577500c1bb31d67424984153028c6fbecb99f068,docs/proposal_execution/STATUS.md,Vercel dpl_HFBaADxm74eTKikK8TXFrQyhmWVG READY at source SHA; requested branch alias anonymous 10/10 routes HTTP 200; PR head 577500c1; production alias remains prior master deployment dpl_DqaC4qcmxFnnoebUuwAnwunnxkaR.,Competition Preview accessibility PASS; no production promotion.,Implementation lead; independent authority where required,
AC43,M9,R40,25,Submission consistency,Slides/brief/report/offline/Preview one release; pitch/file requirements confirmed or explicitly pending.,Submission/rehearsal checklist,PARTIAL,docs/proposal_execution/pitch_outline.md; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/download-alignment.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,,docs/proposal_execution/pitch_outline.md; apps/web/public/briefs/catalog.json,User confirmed ten-minute pitch/no file submission; exact-code Preview and offline catalogs plus 16 bilingual briefs matched 19/19 bytes; current script/outline retained.,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Actual timed pitch and nontechnical human readout are not recorded; final documentation binding pending.
AC44,M10,R31,"40,35",Hat Yai transfer,Urban QA and independent event evidence; no transferred Mae Sai accuracy; topology/entrances and unknown coverage explicit.,Area-specific comparison and blockers,PARTIAL,Project Support/FloodGuard/research-runs/2026-09-23-hat-yai-transfer-closure-v1/run_receipt.json; Project Support/FloodGuard/execution/2026-09-23/worldpop-age-hat-yai-2025-1km-v2/age_review.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-03_hat_yai_core/build_receipt.json,,scripts/hat_yai_transfer_sensitivity.py; docs/proposal_execution/hat_yai_transfer.md,"Candidate closure stress, exact-year age context and corrected Hat Yai finals 6/6 listed files rehashed",Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,No independent Hat Yai flood reference or validated urban entrance/topology; transfer accuracy not claimed.
AC45,M10,R32,"40,35",Lower-basin years,Context repaired; each year has independent event layer or honest scenario status; shared baseline not presented as change.,2024/2025 event receipts,PARTIAL,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-05_chao_phraya_bang_ban_sena/build_receipt.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-06_chao_phraya_rangsit/build_receipt.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/rebuilt-export-verification-v4.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/repository-public-copy-receipt.json,,scripts/compare_lower_basin_context.py; docs/proposal_execution/lower_basin_release_path.md,Corrected fixed-demand 10 km two-mode lower-basin finals and verified eight-case candidate catalog/repository copy PASS,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Distinct independent 2024/2025 observed flood inputs absent; shared static access remains a labelled scenario.
AC46,M12,"R30,R32",35,Portable reproduction,Configurable roots/locked commands; measured resources and update/recovery; no personal path required in product code.,Independent rebuild/resource/recovery receipt,PARTIAL,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/finals_resource_samples.csv; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/evidence_build_resource_samples.csv; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/rebuilt-export-verification-v4.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/repository-public-copy-receipt.json; docs/proposal_execution/replication_resources.md,,docs/proposal_execution/REPRODUCE.md; docs/proposal_execution/replication_resources.md,"Local source-bound finals and stage resource/recovery measured; independent export verifier PASS, 24/24 repository copy PASS; second-machine NOT RUN",Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Local reproduction/resources PASS; exact-release offline package and real second-machine rebuild remain pending.
